tokenize,SCREEN#Positive,SCREEN#Neutral,SCREEN#Negative,CAMERA#Positive,CAMERA#Neutral,CAMERA#Negative,FEATURES#Positive,FEATURES#Neutral,FEATURES#Negative,BATTERY#Positive,BATTERY#Neutral,BATTERY#Negative,PERFORMANCE#Positive,PERFORMANCE#Neutral,PERFORMANCE#Negative,STORAGE#Positive,STORAGE#Neutral,STORAGE#Negative,DESIGN#Positive,DESIGN#Neutral,DESIGN#Negative,PRICE#Positive,PRICE#Neutral,PRICE#Negative,GENERAL#Positive,GENERAL#Neutral,GENERAL#Negative,SER&ACC#Positive,SER&ACC#Neutral,SER&ACC#Negative
mọi thứ đều ngon trong tầm giá lần đầu xài xiaomi cảm_thấy rất hài_lòng về chất_lượng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
khá ổn trong tầm giá cam đẹp sạc nhanh màn_hình đẹp âm_thanh hay rất phù_hợp với người thích chơi game tuy_nhiên màn_hình hơi tối so với ngoài_trời,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
đi thoại mượt chơi game ngon âm báo_thức bật maxloa luôn nghe vẫn nhỏ nhân_viên phục_vụ nhiệt_tình,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
máy rất tốt trong tầm giá pin trâu màn_hình đẹp to camera đẹp chơi các tựa game ở cấu_hình vừa_phải thì ổn chỉ có đều là cảm_biến vân tay quang_học trong màn_hình hơi chậm k có hỗ_trợ chụp đêm nên chụp trong đêm hơi xấu còn nv phục_vụ nhiệt_tình và chu_đáo,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
mình mua dc 1 tuần máy đang phát trực_tiếp tự_nhiên tắt nguồn bắt sống wifi quá yêu hối_hận,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sản_phẩm quá tuyệt_vời iphone 7plus camera đẹp chơi game thì không sợ 1 game nào nặng cả rất mượt nhưng game nào có đồ_hoạ cao chơi sẽ bị sụt pin rất nhanh máy nóng nhưng không sao iphone 7 plus tuyệt_vời lắm rồi,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dùng ok mượt k nóng đt có 5 6 triệu mà mở max cấu_hình ròi kêu nóng nhân_viên nhiệt_tình,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mới mua được 1 ngày ck dùng j6 còn mình dùng con này wifi ck m lúc_nào cũng 3 vạch mà dt này thì lúc 2 vạch lúc 1 vạch lúc đứng luôn k hieur vì sao nữa dùng thấy bực_mình,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dùng thì cứ đơ máy bấm mãi mới khởi_động lại song nóng ran lên chán ko buồn nói kêu bảo_hành phần_mềm chọn đời mà dùng chưa dc đã hỏng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lỗi phầm mềm sạc pin ko vào đem ra bảo_trì thì cài lại máy vẫn ko hết lỗi mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
máy dùng tốt với tầm giá khá nhanh_nhạy pin trâu lần đâu tiên mua máy chưa tới 2tr mà ưng ghê luôn á mọi người nên mua,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
sạc pin 100 r để k 10h mà k hao nào mà s mọi người cứ kêu hao pin nhanh là s nhỉ mình thasy pin rất trâu lun,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cho mình hỏi tắt quảng_cáo trên điện_thoại ạ mới mua về vài hôm mà nó cứ tụ phát quảng_cáo hoài ngày khi mình đã khoá màn_hình cũng chạy quảng_cáo mong được phản_hồi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tất_cả mọi thứ đều ổn hết màn_hình đẹp máy chạy êm pin sạc nhanh màu mặt lưng đẹp nhưng chỉ tiết ở phần thiết_kế phải_chi loa ngoài được đặt ở bên hông thay_vì đặt ở cạnh dưới như_vầy tay cứ bị đè lên loa khi sử_dụng í cứ lo chính bản_thân đè nhiều quá sẽ làm loa hư thêm 1 cái nhỏ_xíu xiu mới mua hôm_qua được giảm 500 000đ nay lên xem tuột xuống đươc giảm hẳn 1 000 000đ tức ghê,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
điện_thoại thiết_kế sang_trọng cameraa chụp ảnh rất tốt pin dùng ổn_định máy dùng mượt không bị đơ,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
máy màn_hình lớn nhận_diện khuôn_mặt nhanh trong đk trời sáng cấu_hình tạm ổn cho các tác_vụ cơ_bản pin trâu nv tgdd nhiệt_tình còn ctkm tặng tai nghe thì tgdd chưa làm tốt ra mua máy thì chi_nhánh tai nghe khg có hàng phải đợi 10 15 ngày tgdd rút kinh_nghiệm về các ctkm kiểu như_vậy,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pin trâu giá rẻ cấu_hình ngon mượt_mà máy chơi game rất tốt nhân_viên tư_vấn nhiệt_tình,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
không nên mua không tương_xứng trong cùng phân khúc chụp ảnh kém mờ được mỗi pin trâu,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
cập_nhật lại ổn nhưng camera xấu xấu tệ hy_vọng cập_nhật lại camera tốt hơn cho bản sau,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mới dùng đc tầm nửa tháng thấy khá là ok mượt chơi game mức_độ mặc_định cũng ok pin đc lâu sạc nhanh,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mình mua máy samsung a20s được 4 ngày rồi nói_chung máy xài ổn trong tầm giá pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên_quân thì tầm 1 ngày chụp hình đẹp máy rất mượt chỉ có lâu_lâu cảm_biến vân tay không được nhạy ngón tay hơi ướt xíu là máy không nhận được vân tay luôn không có ốp lưng nên xài hơi bị xót xíu mình làm trong môi_trường chăn_nuôi bụi cám này kia nhiều,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
tại_sao thì thoảng tôi mở máy thì phải đợi 5 10s thì màn_hình mới lên nó làm tôi thấy khó_chịu còn lại thì ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
iphone luôn ổn_định thiết_kế không có gì mới nhưng vẫn chưa lỗi_thời mình chưa được cầm con iphone nào nhưng mình nghĩ pin của nó đủ xài trong ngày bạn nào bảo pin nó yếu là do một ngày xài quá nhiều thôi thích iphone từ lâu mỗi_tội tài_chính eo_hẹp đang tich góp để cuối năm rước một e zìa quê luôn,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
đã mua và đag dùng rất thất_vọng camera mờ hay nổi quảng_cáo pin xuống rraats nhanh khuyên mọi người đừng mua,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lỗi lưu ảnh và viền 4 góc sáng khá là bực mong xiaomi việt_nam sớm có cách khắc_phục,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tôi nghĩ rằng nó được 4 star với 1 2tr tầm giá rẻ rách nếu_như đường truyền không chập_chờn thì nó sẽ được tôi đánh_giá 5 star,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
máy dùng ok chỉ cài khoá mk vân tay khuôn_mặt rồi mà khi mở lại ko cần vuốt là mở đc còn lại ổn bluetooth bình_thường pin lâu nhạc hay,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tgdd tôi không còn tin_tưởng nữa rồi một hệ_thống bán_lẻ điện_thoại lớn nhất vn tôi mới mua tại cửa_hàng số 473 đường_kính_dương_vương làm tôi quá thất_vọng cảm giấc như mình bị lừa thất_vọng vô_cùng luôn chắc phải chuyển qua hệ_thống khác thôi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
máy chs game khá mượt pin trâu mọi vấn_đề đều ok sản_phẩm trong tầm giá này là quá tuyệt_vời,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
điện_thoại đẹp màn_hình rõ nghe gọi ok chụp hình cũng đẹp giá tầm này thì quá ok rồi nhân_viên tgdd thoại_sơn an_giang thì cực_kỳ dễ_thương luôn,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
xài ok máy mượt chụp ảnh đẹp sạc nhanh mà sao nhiều bạn chê tào_lao quá pin 4k mà xài 1 ngày vầy là tốt rồi,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
với s20 ultra mức giá này bằng với oppo find x2 thì nên mua find x2 vì oppo hơn hẳn con ultra về cấu_hình màn_hình pin và tốc_độ sạc ultra chỉ hơn được về chụp ảnh thôi còn oppo find x2 max mượt max phê,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
máy mới mua về xài được 10 bựa tự_tiện bị đo treo logo 10p sau mới khỏi ding lại được tính_năng chụp màn_hình nứt nguồn với giảm âm_lượng không chụp được,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sau 1 tuần sử_dụng thì mình đánh_giá như sau về camera thì thấy cũng bình_thường cam truớc không được tốt lắm cấu_hình không bằng con vsmart 5tr máy đẹp nhẹ mỏng pin cũng tạm mỗi ngày sạc pin 1 lần bạn nào mua vì màn đẹp vs camera thì nên mua còn mua để chơi game thì ko nên lựa,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sản_phẩm không có tai nghe hả bạn mình mua mà bên tgdd noi la k có tai nghe có đúng vậy k ạ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sản_phẩm đẹp tuyệt_vời hi_vọng trong qtrinh sd k xảy ra lỗi nv nhiệt_tình ms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
mua lâu rồi vân tay quá kém dí mãi mới mở đc chơi game vd liên_quân thì cảm_ứng ko nhạy rất kém máy thì rất nóng nên thỉnh_thoảng bị đơ 1 tý ko phải do mạng hay fps lúc chơi loa ngoài chơi game khá nhỏ nếu bạn nào hay chô game nên chọn con khác chứ con này sang chảnh thì đc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
máy rất ok mượt chơi game quá đỉnh có đều pin hơi tụt nhưng cho là ok vừa vs túi_tiền ok,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
note10 bin rất tệ máy ko xài vẫn tuột phần_trăm vừa sạt đầy 100 pin để đó ko xài từ ság tới tối về nhìn lại còn 40 vậy 60 pin kia ko làm dì mà sao mất nhỉ máy mua dk 1 tuần rồi pin rất tệ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mình vừa mua dùng chơi game thì khỏi nói nhưng còn về xem phim trên youtube bật sd rất mờ so với điện_thoại khác bật sd,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
máy rất xịn thứ nhất chơi game mượt với chíp snap thứ hai pin trâu xài cả ngày mà_còn 50 thư ba màn_hình đẹp chụp hình sáng,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sp tuyệt_vời chắt mua em nó quá vì chán hàng made in china rồi người việt dùng hàng việt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mình mới mua hồi chiều minh vo cài_đặt tìm ram mà không thấy cho mình hỏi ram nó nằm ở đâu vậy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mọi thứ xài thì khá ok chỉ có pin tuột nhanh kinh_khủng không xài cũng tuột 100 chực được 5p là còn 95 ý là không chưa game đó,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
thấy mọi người đánh_giá nhiều lỗi nhưng đó là do phần_mềm lúc các bạn đó mua máy là phần_mềm chưa cập_nhật mình mua máy được một tháng và dùng rất ok không một lỗi nào vì xiaomi đã update phần_mềm fix lỗi hết rồi các bạn yên_tâm mua nhé,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dùng tạm tạm camera quá tệ phần_mềm thì cài các ứng_dụng mặc_định như vinid mua_sắm quá nhiều mua điện_thoại để dùng cá_nhân chứ không phải mua điện_thoại để vinmart quảng_cáo giá rẻ không đáng bỏ tiền mua,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
máy mượt pin trâu nhưng xạc pin mà nó cứ ấm ấm z có nguy_hiểm không ad ngoài_ra thì rất tốt,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cho e hỏi máy mua được một năm r nhưng dạo gần đây pin hay tụt nhanh lắm giúp em cách khác phục với,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sản_phẩm xài tốt 2 tháng rồi mà chưa thấy lỗi nào xài rất tốt chơi pubg và call ò duty mobile đều max seettings ko gật lag nào hết,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mới mua đc 15 ngày xài tạm ổn nhưng pin tụt nhanh máy sạc bị nóng mới mua mà chưa gì máy đã bị nóng còn lại ổn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pin sạc 3 tiếng từ 15 100 pin trâu camera chụp hình khá đẹp trong điều_kiện sáng tốt có chế_độ chụp cảnh buổi tối khá tốt cảm_biến vân tay rất nhạy những thao_tác xem phim nghe nhạc lướt web đều mượt quay_phim chống rung tốt loa vừa đủ nghe ấm màn_hình hiển thì rất nét mình k biết là do rổ hay gì đây là những đánh_giá sau 2 ngày mình sử_dụng đây là điện_thoại tốt trong tầm giá trên 3 triệu không nên đòi_hỏi nhiều về game hay những thao_tác nặng hơn,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
good máy dùng mượt pin thì hơi kém tí nói_chung ok nhân_viên nhiệt_tình thanks thế_giới di_động,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
quá thất_vọng mời mua 2 ngày mà xài cảm_giác quá tệ luôn thua cả con j7pro mua năm 2017 pin thì nhanh hết chỉ vào zalo fb thôi xài 1 buổi bình_thường mà hết 50 pin còn bắt sóng wifi 3g kém chat zalo có nhiều lúc không nhận được tin hoặc lâu mới nhận được còn kiểu_dáng camera tốc_độ thì ok đề_nghị samsung xem_lại !,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
sản_phẩm rất tốt chơi game rất tốt pin trâu mỗi_tội ứng_dụng của máy dính quảng_cáo quá nhiều trong phần cài_đặt cũng có quảng_cáo của gg chèn vào,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sai_lầm khi mua đt này ghê ă nghe nv tư_vấn xoq mua lun về xem_lại cấu_hình mới thấy chán tầm giá này mà màn_hình chỉ mức hd sử sụng chip rất yếu chơi game thì giật liên_tục,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
mình mới mua chiếc điện 3 gb chiếc màu tím với mức giá_như thế_này thì các bạn nên mua một chiếc cho bản_thân chơi game mượt loa tốt wifi ổn các tác_vụ bình_thường thì ok,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
thiết_kế đẹp so với giá_thành thì chất_lượng cực ổn mình đi du_lịch cầm con này theo selfie rất ưng_ý,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
sao mình sài đc 1 tháng thì bị hư lỗ cắm tai nghe và khi gọi cho người khác thì màn_hình bị tắt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mua máy dc 1 tuần đối_với 6 triệu thì máy quá ok mọi thứ đều hoạt_động mượt_mà đặc_biệt pin trâu xài 2 ngày mới cần sạc pin lại mình dùng toàn 3g k dùng wifi ít chơi game chỉ facebook zalo youtube thỉnh_thoảng có xem phim mà đến tối muốn cho hết pin để sạc mà k hết dc xứng_đáng số tiền bỏ ra,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
điện_thoại khi tin nhắn tới lâu_lâu sẽ nghe nó bị rè rè âm thâm tin nhắn như bị đè_nén đi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ứng_dụng văn_phòng rất chán đặc_biệt ng sử dunbj email làm_việc như mình còn chơi game vs lướt web thì chấp_nhận đc pin khoẻ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
khá ok ngon về mọi thứ màn mượt pin khoẻ sạc maxx sướng cảm_giác phê lòi hơn hẳn ss về mọi mặt hehe,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
hên ghê lúc mua em này được giảm 700k giá ưu_đãi 2tr990 mua 2 ốp lưng giá 90k thêm khách_hàng thân_thiết giảm thêm 150k nữa nên tậu luôn cái tai phone nói gì nói chứ thấy máy chạy mượt_mà sao nhiều bạn lại chê mình không chơi game nên như_vậy là quá ok rồi nhân_viên nhiệt_tình vui_vẻ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
mới mua cách đay mấy ngày thật_sự rất tệ load hình quá chậm và nhảy màn hinh loa nghe nhạc qua nhỏ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
máy dùng tạm được đang dùng quen ip sáng máy này thì ko ưng về cảm_ứng và chất_lượng video xem nhiều gây nhức mắt được cái pin khoẻ dùng cả buổi sáng hết 8,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
đánh_giá sau 1 năm sử_dụng thì chơi game cực đã vì pin trâu sạc nhanh hiệu_năng tốt chụp ảnh ở mức bình_thường đủ dùng để làm_việc chứ k dùng vào việc sống ảo hay chụp chuyên_nghiệp được update phần_mềm thường_xuyên nhược_điểm lớn nhất của phần thiết_kế là camera lồi quá nên bị xước màn_hình siêu_bền với gorillas 3 điều ghét nhất ở máy này đó là wifi hay bị lag kết đáng mua trong tầm giá này,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
máy bỏ_túi hay bị chụp màn_hình loạn xì ngầu máy mới nhưng loa rất rè có ai bị giống mình không,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
đừng có mua nếu ai đó đang dự_định mua sản_phẩm xài 1 2 tháng có dấu_hiệu đơ máy cảm_ứng lâu_lâu không nhạy nói_chung rất thất_vọng khi mua nói trước kẻo mốt ôm hận,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sóng_sánh kém lắm giữa đất thị_trấn mà chỉ đc 2 3 vạch wifi vào phòng trong cách khoảng 5m mà bắt đc 3 vạch đã gửi đi hãng thẩm_định pin qua đêm tắt hết ứng_dụng mạng mà sáng dậy tụt 12 chơi liên_quân đôi_khi vẫn bị khựng lại chút đc cái màn nét,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mọi thứ đều ổn trừ đánh_thức cảm_ứng màn_hình khi lên lúc thì không phải sài nút bấm nguồn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
huawei p30 lite sẽ sở_hữu màn_hình 6 15 inch độ_phân_giải full hd với phần notch kiểu giọt nước tích_hợp chip kirin 710 viên pin dung_lượng 3 240 mah hỗ_trợ sạc nhanh 18w và được trang_bị cụm 3 camera 20 16 2 mp,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ok tất mỗi_tội loa hơi nhỏ 1 tí và màn_hình xem phim k mỏi_mắt nhưng hình_ảnh k được mượt cho lắm còn chíp thì antutu đc 288k điểm mạnh hơn hẳn 730g,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mình cảm_thấy oppo ko mượt như quảng_cáo máy mình sử_dụng bị lỗi ứng_dụng sau 15 ngày và phải đổi máy khác chụp hình mặt như bị sưng ko đẹp ko đáng bỏ ra gần 13 triệu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
tôi rất thích sản_phẩm này với tâm già 8990 khó có còn nào lại nó vẻ ngoài hình lẫn chức_năng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
pin tuột hơi bị nhanh đấy chỉ lướt fb bật tiết_kiệm pin mà có 10p từ 90 còn 84 cảm_biến vâng tay tạm thôi chụp hình đẹp chỉ k hài_lòng về pin của con này thôi bù lại sạc nhanh nên cũng đỡ,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
